Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
BHARTIARTL,EQ,17-08-2020,528.6,530.55,532.5,518.1,520.85,521.4,523.23,19014347,9948885553,211145,6393700,33.63
BHARTIARTL,EQ,18-08-2020,521.4,522.05,529.1,520.15,527.85,526.3,524.33,13517889,7087860486,162875,4610638,34.11
BHARTIARTL,EQ,19-08-2020,526.3,529,539.9,527.1,536,535.85,533.14,17075491,9103643890,162156,6909210,40.46
BHARTIARTL,EQ,20-08-2020,535.85,531,533.6,522.7,526,525.55,527.19,13440102,7085518554,117408,5901272,43.91
BHARTIARTL,EQ,21-08-2020,525.55,529.8,529.8,516,519,520.25,521.89,21835588,11395853838,205334,8336609,38.18
BHARTIARTL,EQ,24-08-2020,520.25,517.9,532.4,508.2,531,526.9,517.35,29166922,15089520439,235265,10585579,36.29
BHARTIARTL,EQ,25-08-2020,526.9,534.5,535.65,526,528.65,528.65,529.75,19516042,10338649073,180901,9422842,48.28
BHARTIARTL,EQ,26-08-2020,528.65,528.4,528.4,512,513.5,514.5,516.39,25906518,13377981404,236897,11768458,45.43
BHARTIARTL,EQ,27-08-2020,514.5,514.4,518.5,508,512.5,511.15,512.97,21871778,11219593852,166733,8932803,40.84
BHARTIARTL,EQ,28-08-2020,511.15,512.1,529.55,512.1,522.5,523.45,523.32,21808591,11412882809,231362,7563579,34.68
BHARTIARTL,EQ,31-08-2020,523.45,518.5,522.3,508.55,512.45,513.1,513.53,186856499,95956407296,506006,122919948,65.78
BHARTIARTL,EQ,01-09-2020,513.1,517.5,555.45,514.2,549.5,546.25,539.51,74337280,40105838217,573200,16430348,22.1
BHARTIARTL,EQ,02-09-2020,546.25,550,559,545.1,550.45,550.55,551.97,35023081,19331827446,298159,11171665,31.9
BHARTIARTL,EQ,03-09-2020,550.55,550.55,552.9,535.65,539.6,538,542.19,24622381,13350029336,211388,11018488,44.75
BHARTIARTL,EQ,04-09-2020,538,531.5,538,519.5,523.65,523.15,529.21,28083439,14862027360,181825,15664347,55.78
BHARTIARTL,EQ,07-09-2020,523.15,525,528,510.3,515,515.45,516.98,16147428,8347886616,192361,5897661,36.52
BHARTIARTL,EQ,08-09-2020,515.45,516,516.85,494,495.9,498.1,506.16,33123745,16765833252,275453,15052714,45.44
BHARTIARTL,EQ,09-09-2020,498.1,493.25,506.65,491.1,503.75,504.25,500.29,31478272,15748241560,198922,14935539,47.45
BHARTIARTL,EQ,10-09-2020,504.25,508,508,491.2,498.2,497.35,500.84,21005767,10520625168,251922,8923960,42.48
BHARTIARTL,EQ,11-09-2020,497.35,499.3,502.45,488.55,491.5,491.65,494.01,15597700,7705393910,301695,5941340,38.09
BHARTIARTL,EQ,14-09-2020,491.65,496,497.25,468.3,473,474.1,479.62,52056004,24966969809,589731,22336706,42.91
BHARTIARTL,EQ,15-09-2020,474.1,475.15,487.65,470.05,485.05,485.55,479.95,30857464,14810152928,286885,11337910,36.74
BHARTIARTL,EQ,16-09-2020,485.55,487,490.7,480.55,481.55,481.75,484.56,13133556,6364030285,166056,4611581,35.11
BHARTIARTL,EQ,17-09-2020,481.75,480,482.35,474,479.6,479,477.99,13497203,6451564954,167290,4931251,36.54
BHARTIARTL,EQ,18-09-2020,479,483,497.65,475.3,496.85,494.55,491.26,54801702,26921750332,246800,29937207,54.63
BHARTIARTL,EQ,21-09-2020,494.55,496,496,461.25,467.55,467.75,476.35,22737775,10831174039,217444,7776184,34.2
BHARTIARTL,EQ,22-09-2020,467.75,468.5,478.5,461,471.25,470.95,471.5,18600835,8770254401,230512,5982788,32.16
BHARTIARTL,EQ,23-09-2020,470.95,467,467,423.9,432.5,433.8,440.92,85211349,37571011349,646407,35478570,41.64
BHARTIARTL,EQ,24-09-2020,433.8,425.25,433.5,416.15,419.95,419.3,426.62,35786844,15267370542,710725,12395970,34.64
BHARTIARTL,EQ,25-09-2020,419.3,425,444.95,422.15,440,439.65,436.52,33602428,14668070250,352633,11809177,35.14
BHARTIARTL,EQ,28-09-2020,439.65,446,447.65,434.05,442.4,443.65,441.88,21053041,9302946431,164974,8199756,38.95
BHARTIARTL,EQ,29-09-2020,443.65,444,444.55,429.5,435.6,435.6,435.44,17852308,7773643271,233149,5906122,33.08
BHARTIARTL,EQ,30-09-2020,435.6,438,440.4,418.15,419.65,420.95,428.87,27176498,11655184705,257236,11186991,41.16
BHARTIARTL,EQ,01-10-2020,420.95,426,434.6,423.65,430.2,432.35,430.14,13344280,5739948115,140573,3957155,29.65
BHARTIARTL,EQ,05-10-2020,432.35,432.35,437.5,423,423.9,424.45,429.59,15001368,6444395585,175396,5145028,34.3
BHARTIARTL,EQ,06-10-2020,424.45,427,430,423.1,427.6,426.75,426.41,10876652,4637894769,169406,4816462,44.28
BHARTIARTL,EQ,07-10-2020,426.75,427.8,431.75,421.1,423.2,422.45,424.9,10202818,4335157786,138523,3272026,32.07
BHARTIARTL,EQ,08-10-2020,422.45,426,435.5,419.1,425.15,424.45,428.17,16705222,7152657254,365775,5682695,34.02
BHARTIARTL,EQ,09-10-2020,424.45,428,435,423.3,425,425.2,427.95,20563361,8800074867,391127,8890403,43.23
BHARTIARTL,EQ,12-10-2020,425.2,428,430.6,411.85,413.25,415.05,420.39,14063002,5912009213,204589,5415573,38.51
BHARTIARTL,EQ,13-10-2020,415.05,421.15,427.5,413.1,416,415.3,420.12,27781773,11671631474,338875,7740013,27.86
BHARTIARTL,EQ,14-10-2020,415.3,416.4,419.5,411.3,412.6,413.25,414.94,14110038,5854855649,161300,5357383,37.97
BHARTIARTL,EQ,15-10-2020,413.25,413.4,415.5,395,398.9,399.2,403.13,27855540,11229315429,284076,10932320,39.25
BHARTIARTL,EQ,16-10-2020,399.2,404.45,407.3,398.35,402.1,401.65,402.24,23347957,9391515816,236506,9809147,42.01
BHARTIARTL,EQ,19-10-2020,401.65,403.55,404.65,394,396.05,397.7,397.86,16921274,6732310242,191546,6060954,35.82
BHARTIARTL,EQ,20-10-2020,397.7,397.7,413.2,396.95,405.65,405,407.13,25909683,10548625038,243025,7365337,28.43
BHARTIARTL,EQ,21-10-2020,405,405.7,420.2,403.55,419.5,419,413.01,23488238,9700833388,207547,5941359,25.3
BHARTIARTL,EQ,22-10-2020,419,419,432.35,418,431,430.65,425.96,26516990,11295181918,259557,9161209,34.55
BHARTIARTL,EQ,23-10-2020,430.65,434.9,437.6,427.3,434,434.4,433.47,18171287,7876624802,200346,6621387,36.44
BHARTIARTL,EQ,26-10-2020,434.4,434.35,439.45,428,433.8,434.05,433.74,11736985,5090850647,133452,3584745,30.54
BHARTIARTL,EQ,27-10-2020,434.05,434.05,438.9,427.5,433.3,433.35,433,12781318,5534346619,117094,3819187,29.88
BHARTIARTL,EQ,28-10-2020,433.35,446,488,442,447.75,451.85,463.51,123585653,57283140202,946705,26584797,21.51
BHARTIARTL,EQ,29-10-2020,451.85,447.7,457.1,445,450,450.8,450.77,25066939,11299443465,240192,7838166,31.27
BHARTIARTL,EQ,30-10-2020,450.8,454.9,454.9,430.5,432.75,433.75,439.21,23051352,10124440585,211345,6426190,27.88
BHARTIARTL,EQ,02-11-2020,433.75,435,460,435,455.55,457.4,451.11,28174600,12709769653,262756,9622899,34.15
BHARTIARTL,EQ,03-11-2020,457.4,458,460.7,447.45,454.9,454.6,454.62,16036760,7290605971,162571,5662537,35.31
BHARTIARTL,EQ,04-11-2020,454.6,453,455.55,447.15,451.5,453.05,451.71,10003680,4518784877,98671,3323113,33.22
BHARTIARTL,EQ,05-11-2020,453.05,457,461.9,452.6,458,457.3,457.5,9234395,4224737993,109959,3414270,36.97
BHARTIARTL,EQ,06-11-2020,457.3,457,460.35,448.75,450.25,449.9,453.18,11970462,5424776152,130841,5122085,42.79
BHARTIARTL,EQ,09-11-2020,449.9,456.3,474.75,452.55,473,471.8,465.43,24493687,11400215667,229825,9179644,37.48
BHARTIARTL,EQ,10-11-2020,471.8,474,474.15,465,467,466.4,468.15,9620279,4503741587,147987,2818260,29.29
BHARTIARTL,EQ,11-11-2020,466.4,467.95,481.35,464.05,477.5,478.6,473.3,15737416,7448580860,172984,3583404,22.77
BHARTIARTL,EQ,12-11-2020,478.6,476.85,483.2,475.05,479,479.85,479.9,14512799,6964693772,123986,7371521,50.79
BHARTIARTL,EQ,13-11-2020,479.85,477,478,470,477.25,475.75,474.37,8272841,3924406132,99267,2870860,34.7
BHARTIARTL,EQ,14-11-2020,475.75,487,487,479,479.9,481.5,482.61,3940508,1901746835,63522,1635737,41.51
BHARTIARTL,EQ,17-11-2020,481.5,490.9,494.95,481.25,484.5,484.55,487.48,18699305,9115487944,211335,8583821,45.9
BHARTIARTL,EQ,18-11-2020,484.55,483.95,485,471.1,477.8,478.4,477.45,10311000,4922943482,140865,4019915,38.99
BHARTIARTL,EQ,19-11-2020,478.4,476,481.45,467,468.4,468.55,473.25,11329235,5361504589,129354,3920784,34.61
BHARTIARTL,EQ,20-11-2020,468.55,470.5,485.95,465.35,483.15,483.7,475.15,11867647,5638941178,132087,3992484,33.64
BHARTIARTL,EQ,23-11-2020,483.7,486.75,486.75,475.1,476.75,477.25,479.21,10005675,4794770650,149571,2732654,27.31
BHARTIARTL,EQ,24-11-2020,477.25,478.4,481.25,471.2,475.5,474.25,475.07,9173967,4358262925,129133,3180607,34.67
BHARTIARTL,EQ,25-11-2020,474.25,476.5,477.9,458.65,464.3,464.1,467.61,14229948,6654006389,208648,5602463,39.37
BHARTIARTL,EQ,26-11-2020,464.1,468.7,469.65,460.1,469,468.4,465.71,11322533,5273040451,133329,3915411,34.58
BHARTIARTL,EQ,27-11-2020,468.4,468.3,472.65,462,465,463.25,465.57,18151096,8450527178,185490,10410609,57.36
BHARTIARTL,EQ,01-12-2020,463.25,467.75,482.5,460.5,479.2,479.45,474.19,18193356,8627059182,199549,6039234,33.19
BHARTIARTL,EQ,02-12-2020,479.45,481,487.9,474.05,484.2,484.9,481.44,20562558,9899563138,189680,7813359,38
BHARTIARTL,EQ,03-12-2020,484.9,487.1,489.15,474,479.9,479.9,480.22,19723853,9471694661,172391,10218376,51.81
BHARTIARTL,EQ,04-12-2020,479.9,486.85,497.8,483.4,494.5,493.75,492.11,31039563,15274968845,284386,7302086,23.53
BHARTIARTL,EQ,07-12-2020,493.75,498,510.5,494.6,509.5,508.95,503.24,22125752,11134639555,205788,7665713,34.65
BHARTIARTL,EQ,08-12-2020,508.95,514,516.25,499.65,502.95,503.6,506.57,19298806,9776155722,171688,6448682,33.41
BHARTIARTL,EQ,09-12-2020,503.6,504.9,506.9,499.1,502.75,503.05,502.84,11608846,5837385008,147016,4165777,35.88
BHARTIARTL,EQ,10-12-2020,503.05,501.5,508.75,494.1,504.7,505.15,501.69,13194186,6619376249,126519,5034510,38.16
BHARTIARTL,EQ,11-12-2020,505.15,508.5,508.5,497.3,505.1,504.4,504.23,13760737,6938611858,137007,4735575,34.41
BHARTIARTL,EQ,14-12-2020,504.4,507,512,501.15,502.7,503.05,504.79,13886923,7009944012,162325,5284910,38.06
BHARTIARTL,EQ,15-12-2020,503.05,505.85,506.8,498.1,504.25,504.2,502.65,13074733,6572013086,146690,4576353,35
BHARTIARTL,EQ,16-12-2020,504.2,504.2,518.8,502.1,518.3,516.2,509.87,17381441,8862339609,164008,6305309,36.28
BHARTIARTL,EQ,17-12-2020,516.2,517,522.5,512,514,515.1,516.61,19654749,10153858362,183941,7095595,36.1
BHARTIARTL,EQ,18-12-2020,515.1,513.9,514.9,505.05,510,510.65,510.29,10797760,5510041413,139048,3776733,34.98
BHARTIARTL,EQ,21-12-2020,510.65,507.5,511.2,480.15,490.8,490.9,496.79,15253094,7577547767,175878,5559934,36.45
BHARTIARTL,EQ,22-12-2020,490.9,494,505,485.55,500.35,500.3,498.24,21233811,10579573245,205917,8132751,38.3
BHARTIARTL,EQ,23-12-2020,500.3,500.3,509.5,498.4,507,507.2,503.97,13081361,6592634496,177939,5472751,41.84
BHARTIARTL,EQ,24-12-2020,507.2,520,523,510.45,516.25,517.3,517.81,20849597,10796115991,208082,5055582,24.25
BHARTIARTL,EQ,28-12-2020,517.3,520.1,527,516.6,521.5,521.6,522.37,12882390,6729343199,134281,4002208,31.07
BHARTIARTL,EQ,29-12-2020,521.6,523,524.95,515.1,520.65,520.25,520.49,11246474,5853727837,132122,3032301,26.96
BHARTIARTL,EQ,30-12-2020,520.25,523.4,523.4,513.3,516,516.15,516.11,10494434,5416322836,140094,4281397,40.8
BHARTIARTL,EQ,31-12-2020,516.15,517.1,518.45,506.3,509.5,509.7,511.71,15524994,7944285300,160584,5813056,37.44
BHARTIARTL,EQ,01-01-2021,509.7,512.25,516.4,508.2,515,515.15,511.92,10185843,5214358970,115803,2857212,28.05
BHARTIARTL,EQ,04-01-2021,515.15,517,520.5,511.6,517.05,517.1,516.17,13240524,6834336261,206776,6016122,45.44
BHARTIARTL,EQ,05-01-2021,517.1,514,516.9,511.1,513.55,514,514.07,10492428,5393846628,113527,5647859,53.83
BHARTIARTL,EQ,06-01-2021,514,515,531.75,513.1,528.2,525.3,525.27,30269288,15899469921,268788,10666667,35.24
BHARTIARTL,EQ,07-01-2021,525.3,532,554.45,527.1,544.15,545.25,544.18,38717913,21069520839,334312,11281016,29.14
BHARTIARTL,EQ,08-01-2021,545.25,549.3,549.75,537.3,540,540.25,542.82,14270435,7746345547,125210,6394886,44.81
BHARTIARTL,EQ,11-01-2021,540.25,541.5,554.35,541.5,546.2,547.15,548.55,19525604,10710819559,158909,8733229,44.73
BHARTIARTL,EQ,12-01-2021,547.15,549,569,545,568.75,565.75,559.81,25380555,14208170263,247319,9832210,38.74
BHARTIARTL,EQ,13-01-2021,565.75,588,601.7,567,576.3,578.25,586.01,83668562,49030253523,691695,24401136,29.16
BHARTIARTL,EQ,14-01-2021,578.25,582.7,584.8,570.05,579.3,580.55,578.26,16661518,9634652220,249335,6968221,41.82
BHARTIARTL,EQ,15-01-2021,580.55,609.55,610.65,593.8,603.5,602.65,601.78,56392307,33935785594,510948,16380024,29.05
BHARTIARTL,EQ,18-01-2021,602.65,602.65,603,584,584.5,586.95,593.11,20965905,12435110815,248064,7499246,35.77
BHARTIARTL,EQ,19-01-2021,586.95,591.1,597.45,586.5,591.45,592.3,593.22,10830923,6425133732,113605,3612661,33.36
BHARTIARTL,EQ,20-01-2021,592.3,592.3,602.5,589,596.3,596.15,596.29,13087294,7803883836,143148,4220175,32.25
BHARTIARTL,EQ,21-01-2021,596.15,600.25,604.05,574.4,585.15,581.35,590.56,17060331,10075227013,181028,5513829,32.32
BHARTIARTL,EQ,22-01-2021,581.35,583.9,585.55,572.75,578.5,576.85,579.63,12429589,7204623789,166361,4858114,39.09
BHARTIARTL,EQ,25-01-2021,576.85,579,587.85,569.55,579.35,580.75,580.67,12273498,7126808101,138024,5165181,42.08
BHARTIARTL,EQ,27-01-2021,580.75,580,581.75,562.35,570.9,570.8,573.12,15280757,8757731200,195096,6783268,44.39
BHARTIARTL,EQ,28-01-2021,570.8,566.5,575.85,562.75,572.4,570.9,569.72,14921448,8501091970,170888,4598893,30.82
BHARTIARTL,EQ,29-01-2021,570.9,578.5,578.5,550.6,552.25,553.6,560.51,25051621,14041671851,254371,11219875,44.79
BHARTIARTL,EQ,01-02-2021,553.6,559,581.1,549.2,580,579.15,566.42,13951025,7902180560,189069,4657886,33.39
BHARTIARTL,EQ,02-02-2021,579.15,584.9,605.65,579.25,600.8,599.35,593.59,21311866,12650443193,220843,8413096,39.48
BHARTIARTL,EQ,03-02-2021,599.35,609.4,622.5,599.45,611.9,608.85,613.31,30076561,18446303551,302042,8330837,27.7
BHARTIARTL,EQ,04-02-2021,608.85,614.9,623,595.65,599.8,600.6,605.85,51018799,30909763017,480812,11731809,23
BHARTIARTL,EQ,05-02-2021,600.6,603.8,605.9,576.25,584.2,581.1,585.16,34811620,20370367178,372792,13998379,40.21
BHARTIARTL,EQ,08-02-2021,581.1,589,603.65,584.7,597.25,597.3,596.42,21247165,12672304482,253809,6348279,29.88
BHARTIARTL,EQ,09-02-2021,597.3,598.9,607.75,595,601,598.95,601.64,20541765,12358751759,240538,6902063,33.6
BHARTIARTL,EQ,10-02-2021,598.95,604.95,607.75,580.25,589.3,590.2,590.97,31059522,18355259543,314607,12487736,40.21
BHARTIARTL,EQ,11-02-2021,590.2,592,603.55,589,594.55,598.1,598.59,18898771,11312566134,234354,7530315,39.85
BHARTIARTL,EQ,12-02-2021,598.1,597.85,597.85,584.6,585.9,586.25,590.92,15611939,9225345869,156237,6936643,44.43
BHARTIARTL,EQ,15-02-2021,586.25,592.1,603,590,593.55,593.7,597.31,17641523,10537397427,196034,7840125,44.44
BHARTIARTL,EQ,16-02-2021,593.7,595,601.6,593,593.45,593.95,597.29,14787224,8832271405,137273,6291162,42.54
BHARTIARTL,EQ,17-02-2021,593.95,596.95,598.8,590.05,598,593.85,594.02,16133750,9583719254,148002,8755001,54.27
BHARTIARTL,EQ,18-02-2021,593.85,597,598,585.2,589.25,589.05,591.31,21784559,12881387333,225068,10360959,47.56
BHARTIARTL,EQ,19-02-2021,589.05,590,596,575.5,581.5,581.35,587.31,19106404,11221300799,231192,7510083,39.31
BHARTIARTL,EQ,22-02-2021,581.35,582,584.9,568,569,570.3,577.72,19854892,11470577068,205271,11347857,57.15
BHARTIARTL,EQ,23-02-2021,570.3,575,577,564,567,565.55,571.18,23326447,13323679975,246360,12766223,54.73
BHARTIARTL,EQ,24-02-2021,565.55,568.1,574.1,565.2,573.9,572.95,570.87,8725136,4980903600,96467,3780300,43.33
BHARTIARTL,EQ,25-02-2021,572.95,579.9,584.45,577.05,580.1,579.15,580.68,15931134,9250911670,193708,7219171,45.31
BHARTIARTL,EQ,26-02-2021,579.15,574.5,585.95,551.75,553.7,556.3,559.68,194887984,1.09E+11,543213,119239949,61.18
BHARTIARTL,EQ,01-03-2021,556.3,558,559.1,521,532.8,532.2,532.76,54075848,28809311393,558647,24731634,45.74
BHARTIARTL,EQ,02-03-2021,532.2,540.5,544,528.85,541.95,541.2,536.23,30058411,16118091211,338203,9450109,31.44
BHARTIARTL,EQ,03-03-2021,541.2,548.75,550.75,540,546.85,546.3,546.32,24214390,13228780673,314197,10589230,43.73
BHARTIARTL,EQ,04-03-2021,546.3,540,546,538,539.95,539.6,540.38,17352483,9376887662,188724,8188706,47.19
BHARTIARTL,EQ,05-03-2021,539.6,535,538.5,524.4,533.8,532.8,532.15,16351700,8701568566,182600,6988800,42.74
BHARTIARTL,EQ,08-03-2021,532.8,531,535.45,524.75,525.25,525.7,528.93,15011518,7940064973,206029,8587620,57.21
BHARTIARTL,EQ,09-03-2021,525.7,530.1,532,514.3,522.4,521.75,521.98,19809833,10340276015,247460,8904176,44.95
BHARTIARTL,EQ,10-03-2021,521.75,520.2,530.5,516.35,526,525.85,523.89,18663334,9777519895,194438,7463429,39.99
BHARTIARTL,EQ,12-03-2021,525.85,530.55,532.75,521.55,524,524.2,527.94,11410264,6023904033,206133,4680628,41.02
BHARTIARTL,EQ,15-03-2021,524.2,527.8,527.8,516.4,522.5,522.85,521.77,10676602,5570683697,149965,4009779,37.56
BHARTIARTL,EQ,16-03-2021,522.85,524,533.75,524,530.05,529.3,529.92,13007824,6893084058,157872,4684129,36.01
BHARTIARTL,EQ,17-03-2021,529.3,528.8,531,519,522.9,522.9,522.92,8326430,4354061121,110807,3729635,44.79
BHARTIARTL,EQ,18-03-2021,522.9,529.85,532.2,515.35,530.75,527.2,523.97,12235615,6411046946,168190,3969755,32.44
BHARTIARTL,EQ,19-03-2021,527.2,528,534.75,525.5,531.9,529.95,530.33,48683525,25818105416,241657,26803620,55.06
BHARTIARTL,EQ,22-03-2021,529.95,533.05,534,523,527,528,527.46,13331409,7031845755,157176,5372570,40.3
BHARTIARTL,EQ,23-03-2021,528,529.7,532.45,522.15,528.6,529.25,527.11,14958494,7884828195,151964,6995411,46.77
BHARTIARTL,EQ,24-03-2021,529.25,528,533.45,521.5,522.25,523.65,528.12,10602439,5599337216,124348,3704628,34.94
BHARTIARTL,EQ,25-03-2021,523.65,523.4,523.65,499.55,507.2,507.75,510.86,17248482,8811620260,222200,5832926,33.82
BHARTIARTL,EQ,26-03-2021,507.75,512.1,524.9,510.6,523.25,522.5,518.76,10943035,5676774107,141501,3725203,34.04
BHARTIARTL,EQ,30-03-2021,522.5,527.8,527.9,516.25,522.35,521.5,521.49,10494794,5472898568,133631,4648204,44.29
BHARTIARTL,EQ,31-03-2021,521.5,522.35,525.9,516.25,516.6,517.3,520.25,7570387,3938520814,86424,3057399,40.39
BHARTIARTL,EQ,01-04-2021,517.3,519.95,523.9,514.55,520.45,520.8,519.84,6980458,3628704762,83069,2880529,41.27
BHARTIARTL,EQ,05-04-2021,520.8,520.8,529,514.6,528.05,528.25,521.82,9203847,4802722483,92553,2821698,30.66
BHARTIARTL,EQ,06-04-2021,528.25,528.5,537.85,524.55,532.5,532.2,532.86,12873443,6859684394,133794,4322722,33.58
BHARTIARTL,EQ,07-04-2021,532.2,537,546.9,535.25,541,541.6,542.17,20997280,11384107645,192193,7853925,37.4
BHARTIARTL,EQ,08-04-2021,541.6,546.8,548.55,540.5,542,543,544.62,11157958,6076850707,113476,3153147,28.26
BHARTIARTL,EQ,09-04-2021,543,539.5,549.75,536.5,544.35,545.25,543.69,11426998,6212767262,120161,3156352,27.62
